Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Grisons,Etrangers,,1'242,450,2'205,963,1'077,213,2'151,1'074,950,369,2'019,1'069,1'362,936,2'134,772,1'164,409,1'874,710,585,203,1'296,711,470,207,1'119,649,427,190,1'097,670,527,302,1'257,730
Grisons,Suisses,,875,316,1'655,780,805,202,1'600,795,718,252,1'576,858,851,387,1'585,734,825,248,1'516,691,688,194,1'375,687,614,174,1'311,697,619,265,1'292,673,639,250,1'333,694
Grisons,Total,,2'117,766,3'860,1'743,1'882,415,3'751,1'869,1'668,621,3'595,1'927,2'213,1'323,3'719,1'506,1'989,657,3'390,1'401,1'273,397,2'671,1'398,1'084,381,2'430,1'346,1'046,455,2'389,1'343,1'166,552,2'590,1'424
Argovie,Etrangers,,6'311,1'472,8'521,2'210,6'236,1'128,8'448,2'212,5'996,1'171,8'269,2'273,5'697,1'054,7'938,2'241,5'449,1'055,7'746,2'297,5'262,978,7'575,2'313,4'980,915,7'323,2'343,5'062,1'204,7'338,2'276,4'972,1'073,7'280,2'308
Argovie,Suisses,,6'311,1'429,8'517,2'206,6'315,1'224,8'522,2'207,6'102,1'198,8'363,2'261,5'931,1'144,8'201,2'270,5'857,1'126,8'077,2'220,5'768,1'117,8'038,2'270,5'739,1'167,7'982,2'243,5'822,1'425,8'002,2'180,5'712,1'213,7'865,2'153
Argovie,Total,,12'622,2'901,17'038,4'416,12'551,2'352,16'970,4'419,12'098,2'369,16'632,4'534,11'628,2'198,16'139,4'511,11'306,2'181,15'823,4'517,11'030,2'095,15'613,4'583,10'719,2'082,15'305,4'586,10'884,2'629,15'340,4'456,10'684,2'286,15'145,4'461
Thurgovie,Etrangers,,2'050,573,3'276,1'226,2'042,417,3'324,1'282,1'936,424,3'283,1'347,1'731,364,3'073,1'342,1'614,405,2'996,1'382,1'516,344,2'914,1'398,1'546,401,2'814,1'268,1'540,433,2'754,1'214,1'475,407,2'795,1'320
Thurgovie,Suisses,,1'917,552,3'098,1'181,1'894,416,3'084,1'190,1'785,395,3'085,1'300,1'691,383,2'940,1'249,1'648,413,2'943,1'295,1'574,355,2'884,1'310,1'580,415,2'875,1'295,1'684,557,2'867,1'183,1'583,443,2'823,1'240
Thurgovie,Total,,3'967,1'125,6'374,2'407,3'936,833,6'408,2'472,3'721,819,6'368,2'647,3'422,747,6'013,2'591,3'262,818,5'939,2'677,3'090,699,5'798,2'708,3'126,816,5'689,2'563,3'224,990,5'621,2'397,3'058,850,5'618,2'560
Tessin,Etrangers,,3'305,802,5'137,1'832,3'226,611,5'078,1'852,2'891,660,4'728,1'837,2'549,549,4'247,1'698,2'365,550,4'071,1'706,2'285,552,3'944,1'659,2'206,573,3'836,1'630,2'279,640,3'930,1'651,2'303,806,4'034,1'731
Tessin,Suisses,,3'452,813,5'282,1'830,3'397,614,5'222,1'825,3'215,696,5'026,1'811,3'017,642,4'755,1'738,2'909,606,4'687,1'778,2'806,573,4'511,1'705,2'776,659,4'459,1'683,2'873,759,4'577,1'704,2'899,852,4'641,1'742
Tessin,Total,,6'757,1'615,10'419,3'662,6'623,1'225,10'300,3'677,6'106,1'356,9'754,3'648,5'566,1'191,9'002,3'436,5'274,1'156,8'758,3'484,5'091,1'125,8'455,3'364,4'982,1'232,8'295,3'313,5'152,1'399,8'507,3'355,5'202,1'658,8'675,3'473
Vaud,Etrangers,,10'923,2'806,14'765,3'842,10'430,1'921,14'431,4'001,9'840,2'214,13'879,4'039,9'358,1'848,13'289,3'931,8'856,2'088,12'829,3'973,8'147,1'883,12'311,4'164,8'143,2'102,12'107,3'964,8'355,2'360,12'235,3'880,8'264,2'163,12'166,3'902
Vaud,Suisses,,9'749,2'355,13'254,3'505,9'557,1'790,13'060,3'503,9'187,1'930,12'785,3'598,8'995,1'750,12'497,3'502,8'758,1'971,12'463,3'705,8'606,1'933,12'407,3'801,8'962,2'260,12'484,3'522,9'143,2'437,12'620,3'477,8'891,2'032,12'483,3'592
Vaud,Total,,20'672,5'161,28'019,7'347,19'987,3'711,27'491,7'504,19'027,4'144,26'664,7'637,18'353,3'598,25'786,7'433,17'614,4'059,25'292,7'678,16'753,3'816,24'718,7'965,17'105,4'362,24'591,7'486,17'498,4'797,24'855,7'357,17'155,4'195,24'649,7'494
Valais,Etrangers,,5'343,1'480,7'417,2'074,4'563,654,6'942,2'379,3'643,803,5'939,2'296,3'354,1'048,5'211,1'857,2'746,815,4'446,1'700,2'280,595,3'869,1'589,2'189,660,3'697,1'508,2'246,738,3'804,1'558,2'126,803,3'772,1'646
Valais,Suisses,,3'716,985,5'572,1'856,3'470,623,5'371,1'901,3'128,666,4'999,1'871,3'051,761,4'706,1'655,2'941,674,4'446,1'505,2'759,583,4'252,1'493,2'816,705,4'302,1'486,2'817,789,4'368,1'551,2'690,725,4'255,1'565
Valais,Total,,9'059,2'465,12'989,3'930,8'033,1'277,12'313,4'280,6'771,1'469,10'938,4'167,6'405,1'809,9'917,3'512,5'687,1'489,8'892,3'205,5'039,1'178,8'121,3'082,5'005,1'365,7'999,2'994,5'063,1'527,8'172,3'109,4'816,1'528,8'027,3'211
Neuchâtel,Etrangers,,2'840,528,3'574,734,2'789,425,3'555,766,2'591,429,3'355,764,2'393,303,3'170,777,2'222,338,3'059,837,2'011,347,2'840,829,2'016,387,2'749,733,2'003,393,2'715,712,1'970,385,2'670,700
Neuchâtel,Suisses,,3'212,628,4'138,926,3'225,448,4'116,891,3'116,479,4'025,909,3'021,408,3'908,887,2'914,477,3'843,929,2'761,452,3'772,1'011,2'836,549,3'756,920,2'861,557,3'755,894,2'768,506,3'680,912
Neuchâtel,Total,,6'052,1'156,7'712,1'660,6'014,873,7'671,1'657,5'707,908,7'380,1'673,5'414,711,7'078,1'664,5'136,815,6'902,1'766,4'772,799,6'612,1'840,4'852,936,6'505,1'653,4'864,950,6'470,1'606,4'738,891,6'350,1'612
Genève,Etrangers,,6'765,1'371,8'656,1'891,6'629,1'049,8'524,1'895,6'438,1'164,8'351,1'913,6'186,941,8'051,1'865,6'111,1'067,8'014,1'903,5'970,944,7'876,1'906,5'874,987,7'686,1'812,5'879,1'028,7'664,1'785,5'942,1'126,7'601,1'659
Genève,Suisses,,6'541,1'218,8'328,1'787,6'342,930,8'145,1'803,6'274,1'140,8'093,1'819,6'143,929,7'909,1'766,6'093,985,7'881,1'788,6'040,953,7'885,1'845,6'170,1'106,7'861,1'691,6'251,1'119,7'939,1'688,6'292,1'134,7'896,1'604
Genève,Total,,13'306,2'589,16'984,3'678,12'971,1'979,16'669,3'698,12'712,2'304,16'444,3'732,12'329,1'870,15'960,3'631,12'204,2'052,15'895,3'691,12'010,1'897,15'761,3'751,12'044,2'093,15'547,3'503,12'130,2'147,15'603,3'473,12'234,2'260,15'497,3'263
Jura,Etrangers,,666,113,869,203,645,81,854,209,598,87,827,229,561,90,784,223,534,80,763,229,528,88,754,226,535,93,755,220,534,99,751,217,505,80,729,224
Jura,Suisses,,1'264,261,1'744,480,1'270,216,1'763,493,1'184,190,1'722,538,1'157,216,1'677,520,1'081,171,1'628,547,1'052,166,1'665,613,1'068,218,1'659,591,1'177,333,1'680,503,1'114,212,1'646,532
Jura,Total,,1'930,374,2'613,683,1'915,297,2'617,702,1'782,277,2'549,767,1'718,306,2'461,743,1'615,251,2'391,776,1'580,254,2'419,839,1'603,311,2'414,811,1'711,432,2'431,720,1'619,292,2'375,756
Total,,,164'466,37'645,226'861,62'395,159'809,27'657,223'627,63'818,152'280,30'286,217'248,64'968,146'327,27'481,208'357,62'030,139'778,28'024,202'419,62'641,133'603,25'814,196'896,63'293,133'926,29'144,195'223,61'297,135'578,32'446,195'334,59'756,133'169,30'019,193'624,60'455
