,Unnamed: 0,conflictid,location,sidea,side b,sidebid,incomp,terr,year,intensity,cumint,type,start_month,ependdate,region,ISO2,decolonisation_year,colonizer
2071,2071,414,Russia,Russia (Soviet Union),Wahhabi movement of the Buinaksk district,358,1,Dagestan,1999,1,0,3,8,1999-09-09,1,RU,1991,Russia
2161,2161,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2007,1,0,3,10,,1,RU,1991,Russia
2162,2162,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2008,1,0,3,10,,1,RU,1991,Russia
2163,2163,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2009,1,1,3,10,,1,RU,1991,Russia
2164,2164,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2010,1,1,3,10,,1,RU,1991,Russia
2165,2165,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2011,1,1,3,10,,1,RU,1991,Russia
2166,2166,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2012,1,1,3,10,,1,RU,1991,Russia
2167,2167,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2013,1,1,3,10,,1,RU,1991,Russia
2168,2168,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2014,1,1,3,10,,1,RU,1991,Russia
2169,2169,432,Russia,Russia (Soviet Union),Forces of the Caucasus Emirate,367,1,Caucasus Emirate,2015,1,1,3,10,2015-10-21,1,RU,1991,Russia
2243,2243,13588,Russia,Russia (Soviet Union),IS,234,1,Islamic State,2015,1,0,3,3,,1,RU,1991,Russia
2244,2244,13588,Russia,Russia (Soviet Union),IS,234,1,Islamic State,2016,1,0,3,3,2016-12-18,1,RU,1991,Russia
